VNUM	LOCALE_NAME
104	Kanlý Kýlýç+4
105	Kanlý Kýlýç+5
106	Kanlý Kýlýç+6
107	Kanlý Kýlýç+7
108	Kanlý Kýlýç+8
109	Kanlý Kýlýç+9
110	Büyük Kýlýç+0
111	Büyük Kýlýç+1
112	Büyük Kýlýç+2
113	Büyük Kýlýç+3
114	Büyük Kýlýç+4
115	Büyük Kýlýç+5
116	Büyük Kýlýç+6
117	Büyük Kýlýç+7
118	Büyük Kýlýç+8
119	Büyük Kýlýç+9
120	Uçan Büyücü Kýlýcý+0
121	Uçan Büyücü Kýlýcý+1
122	Uçan Büyücü Kýlýcý+2
123	Uçan Büyücü Kýlýcý+3
124	Uçan Büyücü Kýlýcý+4
125	Uçan Büyücü Kýlýcý+5
126	Uçan Büyücü Kýlýcý+6
127	Uçan Büyücü Kýlýcý+7
128	Uçan Büyücü Kýlýcý+8
129	Uçan Büyücü Kýlýcý+9
130	Yarýmay Kýlýcý+0
131	Yarýmay Kýlýcý+1
132	Yarýmay Kýlýcý+2
133	Yarýmay Kýlýcý+3
134	Yarýmay Kýlýcý+4
135	Yarýmay Kýlýcý+5
136	Yarýmay Kýlýcý+6
137	Yarýmay Kýlýcý+7
138	Yarýmay Kýlýcý+8
139	Yarýmay Kýlýcý+9
140	Muharebe Kýlýcý+0
141	Muharebe Kýlýcý+1
142	Muharebe Kýlýcý+2
143	Muharebe Kýlýcý+3
144	Muharebe Kýlýcý+4
145	Muharebe Kýlýcý+5
146	Muharebe Kýlýcý+6
147	Muharebe Kýlýcý+7
148	Muharebe Kýlýcý+8
149	Muharebe Kýlýcý+9
150	Hortlak Diþi Kýlýcý+0
151	Hortlak Diþi Kýlýcý+1
152	Hortlak Diþi Kýlýcý+2
153	Hortlak Diþi Kýlýcý+3
154	Hortlak Diþi Kýlýcý+4
155	Hortlak Diþi Kýlýcý+5
156	Hortlak Diþi Kýlýcý+6
157	Hortlak Diþi Kýlýcý+7
158	Hortlak Diþi Kýlýcý+8
159	Hortlak Diþi Kýlýcý+9
160	Su Perisi Kýlýcý+0
161	Su Perisi Kýlýcý+1
162	Su Perisi Kýlýcý+2
163	Su Perisi Kýlýcý+3
164	Su Perisi Kýlýcý+4
165	Su Perisi Kýlýcý+5
166	Su Perisi Kýlýcý+6
167	Su Perisi Kýlýcý+7
168	Su Perisi Kýlýcý+8
169	Su Perisi Kýlýcý+9
170	Azap Kýlýcý+0
171	Azap Kýlýcý+1
172	Azap Kýlýcý+2
173	Azap Kýlýcý+3
174	Azap Kýlýcý+4
175	Azap Kýlýcý+5
176	Azap Kýlýcý+6
177	Azap Kýlýcý+7
178	Azap Kýlýcý+8
179	Azap Kýlýcý+9
180	Zehir Kýlýcý+0
181	Zehir Kýlýcý+1
182	Zehir Kýlýcý+2
183	Zehir Kýlýcý+3
184	Zehir Kýlýcý+4
185	Zehir Kýlýcý+5
186	Zehir Kýlýcý+6
187	Zehir Kýlýcý+7
188	Zehir Kýlýcý+8
189	Zehir Kýlýcý+9
190	Aslan Kýlýcý+0
191	Aslan Kýlýcý+1
192	Aslan Kýlýcý+2
193	Aslan Kýlýcý+3
194	Aslan Kýlýcý+4
195	Aslan Kýlýcý+5
196	Aslan Kýlýcý+6
197	Aslan Kýlýcý+7
198	Aslan Kýlýcý+8
199	Aslan Kýlýcý+9
200	Keskin Pala+0
201	Keskin Pala+1
202	Keskin Pala+2
203	Keskin Pala+3
204	Keskin Pala+4
205	Keskin Pala+5
206	Keskin Pala+6
207	Keskin Pala+7
208	Keskin Pala+8
209	Keskin Pala+9
210	Öldürücü Pala+0
211	Öldürücü Pala+1
212	Öldürücü Pala+2
213	Öldürücü Pala+3
214	Öldürücü Pala+4
215	Öldürücü Pala+5
216	Öldürücü Pala+6
217	Öldürücü Pala+7
218	Öldürücü Pala+8
219	Öldürücü Pala+9
220	Ay Kýlýcý+0
221	Ay Kýlýcý+1
222	Ay Kýlýcý+2
223	Ay Kýlýcý+3
224	Ay Kýlýcý+4
225	Ay Kýlýcý+5
226	Ay Kýlýcý+6
227	Ay Kýlýcý+7
228	Ay Kýlýcý+8
229	Ay Kýlýcý+9
230	Ýlahi Kýlýç+0
231	Ýlahi Kýlýç+1
232	Ýlahi Kýlýç+2
233	Ýlahi Kýlýç+3
234	Ýlahi Kýlýç+4
235	Ýlahi Kýlýç+5
236	Ýlahi Kýlýç+6
237	Ýlahi Kýlýç+7
238	Ýlahi Kýlýç+8
239	Ýlahi Kýlýç+9
240	Þeytan Çýkarma Kýlýcý+0
241	Þeytan Çýkarma Kýlýcý+1
242	Þeytan Çýkarma Kýlýcý+2
243	Þeytan Çýkarma Kýlýcý+3
244	Þeytan Çýkarma Kýlýcý+4
245	Þeytan Çýkarma Kýlýcý+5
246	Þeytan Çýkarma Kýlýcý+6
247	Þeytan Çýkarma Kýlýcý+7
248	Þeytan Çýkarma Kýlýcý+8
249	Þeytan Çýkarma Kýlýcý+9
250	Þeytani Pala+0
251	Þeytani Pala+1
252	Þeytani Pala+2
253	Þeytani Pala+3
254	Þeytani Pala+4
255	Þeytani Pala+5
256	Þeytani Pala+6
257	Þeytani Pala+7
258	Þeytani Pala+8
259	Þeytani Pala+9
260	Baron Kýlýcý+0
261	Baron Kýlýcý+1
262	Baron Kýlýcý+2
263	Baron Kýlýcý+3
264	Baron Kýlýcý+4
265	Baron Kýlýcý+5
266	Baron Kýlýcý+6
267	Baron Kýlýcý+7
268	Baron Kýlýcý+8
269	Baron Kýlýcý+9
270	Triton Kýlýcý+0
271	Triton Kýlýcý+1
272	Triton Kýlýcý+2
273	Triton Kýlýcý+3
274	Triton Kýlýcý+4
275	Triton Kýlýcý+5
276	Triton Kýlýcý+6
277	Triton Kýlýcý+7
278	Triton Kýlýcý+8
279	Triton Kýlýcý+9
280	Kutsal Kýlýç+0
281	Kutsal Kýlýç+1
282	Kutsal Kýlýç+2
283	Kutsal Kýlýç+3
284	Kutsal Kýlýç+4
285	Kutsal Kýlýç+5
286	Kutsal Kýlýç+6
287	Kutsal Kýlýç+7
288	Kutsal Kýlýç+8
289	Kutsal Kýlýç+9
290	Dolunay Kýlýcý+0
291	Dolunay Kýlýcý+1
292	Dolunay Kýlýcý+2
293	Dolunay Kýlýcý+3
294	Dolunay Kýlýcý+4
295	Dolunay Kýlýcý+5
296	Dolunay Kýlýcý+6
297	Dolunay Kýlýcý+7
298	Dolunay Kýlýcý+8
299	Dolunay Kýlýcý+9
300	Zodyak Býçak+0
301	Zodyak Býçak+1
302	Zodyak Býçak+2
303	Zodyak Býçak+3
304	Zodyak Býçak+4
305	Zodyak Býçak+5
306	Zodyak Býçak+6
307	Zodyak Býçak+7
308	Zodyak Býçak+8
309	Zodyak Býçak+9
310	Zodyak Kýlýç+0
311	Zodyak Kýlýç+1
312	Zodyak Kýlýç+2
313	Zodyak Kýlýç+3
314	Zodyak Kýlýç+4
315	Zodyak Kýlýç+5
316	Zodyak Kýlýç+6
317	Zodyak Kýlýç+7
318	Zodyak Kýlýç+8
319	Zodyak Kýlýç+9
320	Kara ejderha kýlýcý+0
321	Kara ejderha kýlýcý+1
322	Kara ejderha kýlýcý+2
323	Kara ejderha kýlýcý+3
324	Kara ejderha kýlýcý+4
325	Kara ejderha kýlýcý+5
326	Kara ejderha kýlýcý+6
327	Kara ejderha kýlýcý+7
328	Kara ejderha kýlýcý+8
329	Kara ejderha kýlýcý+9
330	Kara ejderha kýlýcý+10
331	Kara ejderha kýlýcý+11
332	Kara ejderha kýlýcý+12
333	Kara ejderha kýlýcý+13
334	Kara ejderha kýlýcý+14
335	Kara ejderha kýlýcý+15
340	Kara ejderha jileti+0
341	Kara ejderha jileti+1
342	Kara ejderha jileti+2
343	Kara ejderha jileti+3
344	Kara ejderha jileti+4
345	Kara ejderha jileti+5
346	Kara ejderha jileti+6
347	Kara ejderha jileti+7
348	Kara ejderha jileti+8
349	Kara ejderha jileti+9
350	Kara ejderha jileti+10
351	Kara ejderha jileti+11
352	Kara ejderha jileti+12
353	Kara ejderha jileti+13
354	Kara ejderha jileti+14
355	Kara ejderha jileti+15
360	Yýlan kýlýcý+0
361	Yýlan kýlýcý+1
362	Yýlan kýlýcý+2
363	Yýlan kýlýcý+3
364	Yýlan kýlýcý+4
365	Yýlan kýlýcý+5
366	Yýlan kýlýcý+6
367	Yýlan kýlýcý+7
368	Yýlan kýlýcý+8
369	Yýlan kýlýcý+9
370	Yýlan kýlýcý+10
371	Yýlan kýlýcý+11
372	Yýlan kýlýcý+12
373	Yýlan kýlýcý+13
374	Yýlan kýlýcý+14
375	Yýlan kýlýcý+15
376	Yýlan kýlýcý(ürtm.)
380	Yýlan býçaðý+0
381	Yýlan býçaðý+1
382	Yýlan býçaðý+2
383	Yýlan býçaðý+3
384	Yýlan býçaðý+4
385	Yýlan býçaðý+5
386	Yýlan býçaðý+6
387	Yýlan býçaðý+7
388	Yýlan býçaðý+8
389	Yýlan býçaðý+9
390	Yýlan býçaðý+10
391	Yýlan býçaðý+11
392	Yýlan býçaðý+12
393	Yýlan býçaðý+13
394	Yýlan býçaðý+14
395	Yýlan býçaðý+15
396	Yýlan býçaðý(ürtm.)
460	Runik Kýlýç +0
461	Runik Kýlýç +1
462	Runik Kýlýç +2
463	Runik Kýlýç +3
464	Runik Kýlýç +4
465	Runik Kýlýç +5
466	Runik Kýlýç +6
467	Runik Kýlýç +7
468	Runik Kýlýç +8
469	Runik Kýlýç +9
470	Ejderha Diþi Kýlýcý +0
471	Ejderha Diþi Kýlýcý +1
472	Ejderha Diþi Kýlýcý +2
473	Ejderha Diþi Kýlýcý +3
474	Ejderha Diþi Kýlýcý +4
475	Ejderha Diþi Kýlýcý +5
476	Ejderha Diþi Kýlýcý +6
477	Ejderha Diþi Kýlýcý +7
478	Ejderha Diþi Kýlýcý +8
479	Ejderha Diþi Kýlýcý +9
500	Kyanit Kýlýcý+0
501	Kyanit Kýlýcý+1
502	Kyanit Kýlýcý+2
503	Kyanit Kýlýcý+3
504	Kyanit Kýlýcý+4
505	Kyanit Kýlýcý+5
506	Kyanit Kýlýcý+6
507	Kyanit Kýlýcý+7
508	Kyanit Kýlýcý+8
509	Kyanit Kýlýcý+9
1000	Hançer+0
1001	Hançer+1
1002	Hançer+2
1003	Hançer+3
1004	Hançer+4
1005	Hançer+5
1006	Hançer+6
1007	Hançer+7
1008	Hançer+8
1009	Hançer+9
1010	Kobra Hançeri+0
1011	Kobra Hançeri+1
1012	Kobra Hançeri+2
1013	Kobra Hançeri+3
1014	Kobra Hançeri+4
1015	Kobra Hançeri+5
1016	Kobra Hançeri+6
1017	Kobra Hançeri+7
1018	Kobra Hançeri+8
1019	Kobra Hançeri+9
1020	Makas Hançer+0
1021	Makas Hançer+1
1022	Makas Hançer+2
1023	Makas Hançer+3
1024	Makas Hançer+4
1025	Makas Hançer+5
1026	Makas Hançer+6
1027	Makas Hançer+7
1028	Makas Hançer+8
1029	Makas Hançer+9
1030	Þanslý Býçak+0
1031	Þanslý Býçak+1
1032	Þanslý Býçak+2
1033	Þanslý Býçak+3
1034	Þanslý Býçak+4
1035	Þanslý Býçak+5
1036	Þanslý Býçak+6
1037	Þanslý Býçak+7
1038	Þanslý Býçak+8
1039	Þanslý Býçak+9
1040	Kedi Isýrýðý Býçak+0
1041	Kedi Isýrýðý Býçak+1
1042	Kedi Isýrýðý Býçak+2
1043	Kedi Isýrýðý Býçak+3
1044	Kedi Isýrýðý Býçak+4
1045	Kedi Isýrýðý Býçak+5
1046	Kedi Isýrýðý Býçak+6
1047	Kedi Isýrýðý Býçak+7
1048	Kedi Isýrýðý Býçak+8
1049	Kedi Isýrýðý Býçak+9
1050	Þeytan Surat Hançer+0
1051	Þeytan Surat Hançer+1
1052	Þeytan Surat Hançer+2
1053	Þeytan Surat Hançer+3
1054	Þeytan Surat Hançer+4
1055	Þeytan Surat Hançer+5
1056	Þeytan Surat Hançer+6
1057	Þeytan Surat Hançer+7
1058	Þeytan Surat Hançer+8
1059	Þeytan Surat Hançer+9
1060	Þeytan Yumruðu Hançeri+0
1061	Þeytan Yumruðu Hançeri+1
1062	Þeytan Yumruðu Hançeri+2
1063	Þeytan Yumruðu Hançeri+3
1064	Þeytan Yumruðu Hançeri+4
1065	Þeytan Yumruðu Hançeri+5
1066	Þeytan Yumruðu Hançeri+6
1067	Þeytan Yumruðu Hançeri+7
1068	Þeytan Yumruðu Hançeri+8
1069	Þeytan Yumruðu Hançeri+9
1070	Kanlý Hançer+0
1071	Kanlý Hançer+1
1072	Kanlý Hançer+2
1073	Kanlý Hançer+3
1074	Kanlý Hançer+4
1075	Kanlý Hançer+5
1076	Kanlý Hançer+6
1077	Kanlý Hançer+7
1078	Kanlý Hançer+8
1079	Kanlý Hançer+9
1080	Kaburga Býçak+0
1081	Kaburga Býçak+1
1082	Kaburga Býçak+2
1083	Kaburga Býçak+3
1084	Kaburga Býçak+4
1085	Kaburga Býçak+5
1086	Kaburga Býçak+6
1087	Kaburga Býçak+7
1088	Kaburga Býçak+8
1089	Kaburga Býçak+9
1090	Çakram+0
1091	Çakram+1
1092	Çakram+2
1093	Çakram+3
1094	Çakram+4
1095	Çakram+5
1096	Çakram+6
1097	Çakram+7
1098	Çakram+8
1099	Çakram+9
1100	Ejderha Býçaðý+0
1101	Ejderha Býçaðý+1
1102	Ejderha Býçaðý+2
1103	Ejderha Býçaðý+3
1104	Ejderha Býçaðý+4
1105	Ejderha Býçaðý+5
1106	Ejderha Býçaðý+6
1107	Ejderha Býçaðý+7
1108	Ejderha Býçaðý+8
1109	Ejderha Býçaðý+9
1110	Þimþek Býçaðý+0
1111	Þimþek Býçaðý+1
1112	Þimþek Býçaðý+2
1113	Þimþek Býçaðý+3
1114	Þimþek Býçaðý+4
1115	Þimþek Býçaðý+5
1116	Þimþek Býçaðý+6
1117	Þimþek Býçaðý+7
1118	Þimþek Býçaðý+8
1119	Þimþek Býçaðý+9
1120	Siam Býçaðý+0
1121	Siam Býçaðý+1
1122	Siam Býçaðý+2
1123	Siam Býçaðý+3
1124	Siam Býçaðý+4
1125	Siam Býçaðý+5
1126	Siam Býçaðý+6
1127	Siam Býçaðý+7
1128	Siam Býçaðý+8
1129	Siam Býçaðý+9
1130	Þeytan Kanadý Çakram+0
1131	Þeytan Kanadý Çakram+1
1132	Þeytan Kanadý Çakram+2
1133	Þeytan Kanadý Çakram+3
1134	Þeytan Kanadý Çakram+4
1135	Þeytan Kanadý Çakram+5
1136	Þeytan Kanadý Çakram+6
1137	Þeytan Kanadý Çakram+7
1138	Þeytan Kanadý Çakram+8
1139	Þeytan Kanadý Çakram+9
1140	Testere Diþ Býçaðý+0
1141	Testere Diþ Býçaðý+1
1142	Testere Diþ Býçaðý+2
1143	Testere Diþ Býçaðý+3
1144	Testere Diþ Býçaðý+4
1145	Testere Diþ Býçaðý+5
1146	Testere Diþ Býçaðý+6
1147	Testere Diþ Býçaðý+7
1148	Testere Diþ Býçaðý+8
1149	Testere Diþ Býçaðý+9
1150	Gün Iþýðý Býçaðý+0
1151	Gün Iþýðý Býçaðý+1
1152	Gün Iþýðý Býçaðý+2
1153	Gün Iþýðý Býçaðý+3
1154	Gün Iþýðý Býçaðý+4
1155	Gün Iþýðý Býçaðý+5
1156	Gün Iþýðý Býçaðý+6
1157	Gün Iþýðý Býçaðý+7
1158	Gün Iþýðý Býçaðý+8
1159	Gün Iþýðý Býçaðý+9
1160	Rivulet Býçaðý+0
1161	Rivulet Býçaðý+1
1162	Rivulet Býçaðý+2
1163	Rivulet Býçaðý+3
1164	Rivulet Býçaðý+4
1165	Rivulet Býçaðý+5
1166	Rivulet Býçaðý+6
1167	Rivulet Býçaðý+7
1168	Rivulet Býçaðý+8
1169	Rivulet Býçaðý+9
1170	Siyah Yaprak Hançeri+0
1171	Siyah Yaprak Hançeri+1
1172	Siyah Yaprak Hançeri+2
1173	Siyah Yaprak Hançeri+3
1174	Siyah Yaprak Hançeri+4
1175	Siyah Yaprak Hançeri+5
1176	Siyah Yaprak Hançeri+6
1177	Siyah Yaprak Hançeri+7
1178	Siyah Yaprak Hançeri+8
1179	Siyah Yaprak Hançeri+9
1180	Zodyak Hançeri+0
1181	Zodyak Hançeri+1
1182	Zodyak Hançeri+2
1183	Zodyak Hançeri+3
1184	Zodyak Hançeri+4
1185	Zodyak Hançeri+5
1186	Zodyak Hançeri+6
1187	Zodyak Hançeri+7
1188	Zodyak Hançeri+8
1189	Zodyak Hançeri+9
1190	Kara ejderha hançeri+0
1191	Kara ejderha hançeri+1
1192	Kara ejderha hançeri+2
1193	Kara ejderha hançeri+3
1194	Kara ejderha hançeri+4
1195	Kara ejderha hançeri+5
1196	Kara ejderha hançeri+6
1197	Kara ejderha hançeri+7
1198	Kara ejderha hançeri+8
1199	Kara ejderha hançeri+9
1200	Kara ejderha hançeri+10
1201	Kara ejderha hançeri+11
1202	Kara ejderha hançeri+12
1203	Kara ejderha hançeri+13
1204	Kara ejderha hançeri+14
1205	Kara ejderha hançeri+15
1210	Yýlan hançeri+0
1211	Yýlan hançeri+1
1212	Yýlan hançeri+2
1213	Yýlan hançeri+3
1214	Yýlan hançeri+4
1215	Yýlan hançeri+5
1216	Yýlan hançeri+6
1217	Yýlan hançeri+7
1218	Yýlan hançeri+8
1219	Yýlan hançeri+9
1220	Yýlan hançeri+10
1221	Yýlan hançeri+11
1222	Yýlan hançeri+12
1223	Yýlan hançeri+13
1224	Yýlan hançeri+14
1225	Yýlan hançeri+15
1226	Yýlan hançeri(ürtm.)
1340	Beþ Element Kýlýcý +0
1341	Beþ Element Kýlýcý +1
1342	Beþ Element Kýlýcý +2
1343	Beþ Element Kýlýcý +3
1344	Beþ Element Kýlýcý +4
1345	Beþ Element Kýlýcý +5
1346	Beþ Element Kýlýcý +6
1347	Beþ Element Kýlýcý +7
1348	Beþ Element Kýlýcý +8
1349	Beþ Element Kýlýcý +9
1500	Kyanit Hançer+0
1501	Kyanit Hançer+1
1502	Kyanit Hançer+2
1503	Kyanit Hançer+3
1504	Kyanit Hançer+4
1505	Kyanit Hançer+5
1506	Kyanit Hançer+6
1507	Kyanit Hançer+7
1508	Kyanit Hançer+8
1509	Kyanit Hançer+9
2000	Yay+0
2001	Yay+1
2002	Yay+2
2003	Yay+3
2004	Yay+4
2005	Yay+5
2006	Yay+6
2007	Yay+7
2008	Yay+8
2009	Yay+9
2010	Uzun Yay +0
2011	Uzun Yay +1
2012	Uzun Yay +2
2013	Uzun Yay +3
2014	Uzun Yay +4
2015	Uzun Yay +5
2016	Uzun Yay +6
2017	Uzun Yay +7
2018	Uzun Yay +8
2019	Uzun Yay +9
2020	Birleþik Yay+0
2021	Birleþik Yay+1
2022	Birleþik Yay+2
2023	Birleþik Yay+3
2024	Birleþik Yay+4
2025	Birleþik Yay+5
2026	Birleþik Yay+6
2027	Birleþik Yay+7
2028	Birleþik Yay+8
2029	Birleþik Yay+9
2030	Harp Yayý+0
2031	Harp Yayý+1
2032	Harp Yayý+2
2033	Harp Yayý+3
2034	Harp Yayý+4
2035	Harp Yayý+5
2036	Harp Yayý+6
2037	Harp Yayý+7
2038	Harp Yayý+8
2039	Harp Yayý+9
2040	Atsýrtý Uzun Yay+0
2041	Atsýrtý Uzun Yay+1
2042	Atsýrtý Uzun Yay+2
2043	Atsýrtý Uzun Yay+3
2044	Atsýrtý Uzun Yay+4
2045	Atsýrtý Uzun Yay+5
2046	Atsýrtý Uzun Yay+6
2047	Atsýrtý Uzun Yay+7
2048	Atsýrtý Uzun Yay+8
2049	Atsýrtý Uzun Yay+9
2050	Atsýrtý Savaþ+0
2051	Atsýrtý Savaþ+1
2052	Atsýrtý Savaþ+2
2053	Atsýrtý Savaþ+3
2054	Atsýrtý Savaþ+4
2055	Atsýrtý Savaþ+5
2056	Atsýrtý Savaþ+6
2057	Atsýrtý Savaþ+7
2058	Atsýrtý Savaþ+8
2059	Atsýrtý Savaþ+9
2060	Bakýr Ýþçiliði Yay+0
2061	Bakýr Ýþçiliði Yay+1
2062	Bakýr Ýþçiliði Yay+2
2063	Bakýr Ýþçiliði Yay+3
2064	Bakýr Ýþçiliði Yay+4
2065	Bakýr Ýþçiliði Yay+5
2066	Bakýr Ýþçiliði Yay+6
2067	Bakýr Ýþçiliði Yay+7
2068	Bakýr Ýþçiliði Yay+8
2069	Bakýr Ýþçiliði Yay+9
2070	Kara Yýkým Yayý+0
2071	Kara Yýkým Yayý+1
2072	Kara Yýkým Yayý+2
2073	Kara Yýkým Yayý+3
2074	Kara Yýkým Yayý+4
2075	Kara Yýkým Yayý+5
2076	Kara Yýkým Yayý+6
2077	Kara Yýkým Yayý+7
2078	Kara Yýkým Yayý+8
2079	Kara Yýkým Yayý+9
2080	Kýrmýzý Göz Yay+0
2081	Kýrmýzý Göz Yay+1
2082	Kýrmýzý Göz Yay+2
2083	Kýrmýzý Göz Yay+3
2084	Kýrmýzý Göz Yay+4
2085	Kýrmýzý Göz Yay+5
2086	Kýrmýzý Göz Yay+6
2087	Kýrmýzý Göz Yay+7
2088	Kýrmýzý Göz Yay+8
2089	Kýrmýzý Göz Yay+9
2090	Dikenli Yaprak Yayý+0
2091	Dikenli Yaprak Yayý+1
2092	Dikenli Yaprak Yayý+2
2093	Dikenli Yaprak Yayý+3
2094	Dikenli Yaprak Yayý+4
2095	Dikenli Yaprak Yayý+5
2096	Dikenli Yaprak Yayý+6
2097	Dikenli Yaprak Yayý+7
2098	Dikenli Yaprak Yayý+8
2099	Dikenli Yaprak Yayý+9
2100	Boða Boynuzu Yay+0
2101	Boða Boynuzu Yay+1
2102	Boða Boynuzu Yay+2
2103	Boða Boynuzu Yay+3
2104	Boða Boynuzu Yay+4
2105	Boða Boynuzu Yay+5
2106	Boða Boynuzu Yay+6
2107	Boða Boynuzu Yay+7
2108	Boða Boynuzu Yay+8
2109	Boða Boynuzu Yay+9
2110	Tek Boynuzlu Yay+0
2111	Tek Boynuzlu Yay+1
2112	Tek Boynuzlu Yay+2
2113	Tek Boynuzlu Yay+3
2114	Tek Boynuzlu Yay+4
2115	Tek Boynuzlu Yay+5
2116	Tek Boynuzlu Yay+6
2117	Tek Boynuzlu Yay+7
2118	Tek Boynuzlu Yay+8
2119	Tek Boynuzlu Yay+9
2120	Dev Kanatlý Yay+0
2121	Dev Kanatlý Yay+1
2122	Dev Kanatlý Yay+2
2123	Dev Kanatlý Yay+3
2124	Dev Kanatlý Yay+4
2125	Dev Kanatlý Yay+5
2126	Dev Kanatlý Yay+6
2127	Dev Kanatlý Yay+7
2128	Dev Kanatlý Yay+8
2129	Dev Kanatlý Yay+9
2130	Kutsal Sert Yay+0
2131	Kutsal Sert Yay+1
2132	Kutsal Sert Yay+2
2133	Kutsal Sert Yay+3
2134	Kutsal Sert Yay+4
2135	Kutsal Sert Yay+5
2136	Kutsal Sert Yay+6
2137	Kutsal Sert Yay+7
2138	Kutsal Sert Yay+8
2139	Kutsal Sert Yay+9
2140	Sarý EjderhaYayý+0
2141	Sarý EjderhaYayý+1
2142	Sarý EjderhaYayý+2
2143	Sarý EjderhaYayý+3
2144	Sarý EjderhaYayý+4
2145	Sarý EjderhaYayý+5
2146	Sarý EjderhaYayý+6
2147	Sarý EjderhaYayý+7
2148	Sarý EjderhaYayý+8
2149	Sarý EjderhaYayý+9
2150	Geyik Boynuzu Yay+0
2151	Geyik Boynuzu Yay+1
2152	Geyik Boynuzu Yay+2
2153	Geyik Boynuzu Yay+3
2154	Geyik Boynuzu Yay+4
2155	Geyik Boynuzu Yay+5
2156	Geyik Boynuzu Yay+6
2157	Geyik Boynuzu Yay+7
2158	Geyik Boynuzu Yay+8
2159	Geyik Boynuzu Yay+9
2160	Büyük Þeytan Yayý+0
2161	Büyük Þeytan Yayý+1
2162	Büyük Þeytan Yayý+2
2163	Büyük Þeytan Yayý+3
2164	Büyük Þeytan Yayý+4
2165	Büyük Þeytan Yayý+5
2166	Büyük Þeytan Yayý+6
2167	Büyük Þeytan Yayý+7
2168	Büyük Þeytan Yayý+8
2169	Büyük Þeytan Yayý+9
2170	Havalý Çelik Yay+0
2171	Havalý Çelik Yay+1
2172	Havalý Çelik Yay+2
2173	Havalý Çelik Yay+3
2174	Havalý Çelik Yay+4
2175	Havalý Çelik Yay+5
2176	Havalý Çelik Yay+6
2177	Havalý Çelik Yay+7
2178	Havalý Çelik Yay+8
2179	Havalý Çelik Yay+9
2180	Mavi Ejderha Yayý+0
2181	Mavi Ejderha Yayý+1
2182	Mavi Ejderha Yayý+2
2183	Mavi Ejderha Yayý+3
2184	Mavi Ejderha Yayý+4
2185	Mavi Ejderha Yayý+5
2186	Mavi Ejderha Yayý+6
2187	Mavi Ejderha Yayý+7
2188	Mavi Ejderha Yayý+8
2189	Mavi Ejderha Yayý+9
2190	Hayalet Yay+0
2191	Hayalet Yay+1
2192	Hayalet Yay+2
2193	Hayalet Yay+3
2194	Hayalet Yay+4
